00001 A00     0 Cholera                                                      Cholera
20653 M6500   1 Abscess of tendon sheath, unspecified site                   Abscess of tendon sheath, unspecified site
20654 M6501   0 Abscess of tendon sheath, shoulder                           Abscess of tendon sheath, shoulder
20655 M65011  1 Abscess of tendon sheath, right shoulder                     Abscess of tendon sheath, right shoulder
20656 M65012  1 Abscess of tendon sheath, left shoulder                      Abscess of tendon sheath, left shoulder
20657 M65019  1 Abscess of tendon sheath, unspecified shoulder               Abscess of tendon sheath, unspecified shoulder
20658 M6502   0 Abscess of tendon sheath, upper arm                          Abscess of tendon sheath, upper arm
20659 M65021  1 Abscess of tendon sheath, right upper arm                    Abscess of tendon sheath, right upper arm
20660 M65022  1 Abscess of tendon sheath, left upper arm                     Abscess of tendon sheath, left upper arm
20661 M65029  1 Abscess of tendon sheath, unspecified upper arm              Abscess of tendon sheath, unspecified upper arm
20662 M6503   0 Abscess of tendon sheath, forearm                            Abscess of tendon sheath, forearm
20663 M65031  1 Abscess of tendon sheath, right forearm                      Abscess of tendon sheath, right forearm
20664 M65032  1 Abscess of tendon sheath, left forearm                       Abscess of tendon sheath, left forearm
20665 M65039  1 Abscess of tendon sheath, unspecified forearm                Abscess of tendon sheath, unspecified forearm
20666 M6504   0 Abscess of tendon sheath, hand                               Abscess of tendon sheath, hand
20667 M65041  1 Abscess of tendon sheath, right hand                         Abscess of tendon sheath, right hand
20668 M65042  1 Abscess of tendon sheath, left hand                          Abscess of tendon sheath, left hand
20669 M65049  1 Abscess of tendon sheath, unspecified hand                   Abscess of tendon sheath, unspecified hand
20670 M6505   0 Abscess of tendon sheath, thigh                              Abscess of tendon sheath, thigh
20671 M65051  1 Abscess of tendon sheath, right thigh                        Abscess of tendon sheath, right thigh
20672 M65052  1 Abscess of tendon sheath, left thigh                         Abscess of tendon sheath, left thigh
20673 M65059  1 Abscess of tendon sheath, unspecified thigh                  Abscess of tendon sheath, unspecified thigh
20674 M6506   0 Abscess of tendon sheath, lower leg                          Abscess of tendon sheath, lower leg
20675 M65061  1 Abscess of tendon sheath, right lower leg                    Abscess of tendon sheath, right lower leg
20676 M65062  1 Abscess of tendon sheath, left lower leg                     Abscess of tendon sheath, left lower leg
20677 M65069  1 Abscess of tendon sheath, unspecified lower leg              Abscess of tendon sheath, unspecified lower leg
20678 M6507   0 Abscess of tendon sheath, ankle and foot                     Abscess of tendon sheath, ankle and foot
20679 M65071  1 Abscess of tendon sheath, right ankle and foot               Abscess of tendon sheath, right ankle and foot
20680 M65072  1 Abscess of tendon sheath, left ankle and foot                Abscess of tendon sheath, left ankle and foot
20681 M65079  1 Abscess of tendon sheath, unspecified ankle and foot         Abscess of tendon sheath, unspecified ankle and foot
20682 M6508   1 Abscess of tendon sheath, other site                         Abscess of tendon sheath, other site
20683 M651    0 Other infective (teno)synovitis                              Other infective (teno)synovitis
20684 M6510   1 Other infective (teno)synovitis, unspecified site            Other infective (teno)synovitis, unspecified site
20685 M6511   0 Other infective (teno)synovitis, shoulder                    Other infective (teno)synovitis, shoulder
20686 M65111  1 Other infective (teno)synovitis, right shoulder              Other infective (teno)synovitis, right shoulder
20687 M65112  1 Other infective (teno)synovitis, left shoulder               Other infective (teno)synovitis, left shoulder
20688 M65119  1 Other infective (teno)synovitis, unspecified shoulder        Other infective (teno)synovitis, unspecified shoulder
20689 M6512   0 Other infective (teno)synovitis, elbow                       Other infective (teno)synovitis, elbow
20690 M65121  1 Other infective (teno)synovitis, right elbow                 Other infective (teno)synovitis, right elbow
20691 M65122  1 Other infective (teno)synovitis, left elbow                  Other infective (teno)synovitis, left elbow
20692 M65129  1 Other infective (teno)synovitis, unspecified elbow           Other infective (teno)synovitis, unspecified elbow
20693 M6513   0 Other infective (teno)synovitis, wrist                       Other infective (teno)synovitis, wrist
20694 M65131  1 Other infective (teno)synovitis, right wrist                 Other infective (teno)synovitis, right wrist
20695 M65132  1 Other infective (teno)synovitis, left wrist                  Other infective (teno)synovitis, left wrist
20696 M65139  1 Other infective (teno)synovitis, unspecified wrist           Other infective (teno)synovitis, unspecified wrist
20697 M6514   0 Other infective (teno)synovitis, hand                        Other infective (teno)synovitis, hand
20698 M65141  1 Other infective (teno)synovitis, right hand                  Other infective (teno)synovitis, right hand
20699 M65142  1 Other infective (teno)synovitis, left hand                   Other infective (teno)synovitis, left hand
20700 M65149  1 Other infective (teno)synovitis, unspecified hand            Other infective (teno)synovitis, unspecified hand
20701 M6515   0 Other infective (teno)synovitis, hip                         Other infective (teno)synovitis, hip
20702 M65151  1 Other infective (teno)synovitis, right hip                   Other infective (teno)synovitis, right hip
20703 M65152  1 Other infective (teno)synovitis, left hip                    Other infective (teno)synovitis, left hip
20704 M65159  1 Other infective (teno)synovitis, unspecified hip             Other infective (teno)synovitis, unspecified hip
20705 M6516   0 Other infective (teno)synovitis, knee                        Other infective (teno)synovitis, knee
20706 M65161  1 Other infective (teno)synovitis, right knee                  Other infective (teno)synovitis, right knee
20707 M65162  1 Other infective (teno)synovitis, left knee                   Other infective (teno)synovitis, left knee
20708 M65169  1 Other infective (teno)synovitis, unspecified knee            Other infective (teno)synovitis, unspecified knee
20709 M6517   0 Other infective (teno)synovitis, ankle and foot              Other infective (teno)synovitis, ankle and foot
20710 M65171  1 Other infective (teno)synovitis, right ankle and foot        Other infective (teno)synovitis, right ankle and foot
20711 M65172  1 Other infective (teno)synovitis, left ankle and foot         Other infective (teno)synovitis, left ankle and foot
20712 M65179  1 Other infective (teno)synovitis, unspecified ankle and foot  Other infective (teno)synovitis, unspecified ankle and foot
20713 M6518   1 Other infective (teno)synovitis, other site                  Other infective (teno)synovitis, other site
20714 M6519   1 Other infective (teno)synovitis, multiple sites              Other infective (teno)synovitis, multiple sites
20715 M652    0 Calcific tendinitis                                          Calcific tendinitis
20716 M6520   1 Calcific tendinitis, unspecified site                        Calcific tendinitis, unspecified site
20717 M6522   0 Calcific tendinitis, upper arm                               Calcific tendinitis, upper arm
20718 M65221  1 Calcific tendinitis, right upper arm                         Calcific tendinitis, right upper arm
20719 M65222  1 Calcific tendinitis, left upper arm                          Calcific tendinitis, left upper arm
20720 M65229  1 Calcific tendinitis, unspecified upper arm                   Calcific tendinitis, unspecified upper arm
20721 M6523   0 Calcific tendinitis, forearm                                 Calcific tendinitis, forearm
20722 M65231  1 Calcific tendinitis, right forearm                           Calcific tendinitis, right forearm
20723 M65232  1 Calcific tendinitis, left forearm                            Calcific tendinitis, left forearm
20724 M65239  1 Calcific tendinitis, unspecified forearm                     Calcific tendinitis, unspecified forearm
20725 M6524   0 Calcific tendinitis, hand                                    Calcific tendinitis, hand
20726 M65241  1 Calcific tendinitis, right hand                              Calcific tendinitis, right hand
20727 M65242  1 Calcific tendinitis, left hand                               Calcific tendinitis, left hand
20728 M65249  1 Calcific tendinitis, unspecified hand                        Calcific tendinitis, unspecified hand
